"song.id","bird.id","distance","bg.OBCZ2000","bg.OBCZ2500","bg.OBCZ3150","bg.OBCZ4000","bg.OBCZ5000","bg.OBCZ6300","bg.OBCZ8000","ambient.LAeq","SENEL.total","SEL.LZeq","song.bands.OBCZ2000","song.bands.OBCZ2500","song.bands.OBCZ3150","song.bands.OBCZ4000","song.bands.OBCZ5000","song.bands.OBCZ6300","song.bands.OBCZ8000","location","year"
"831_Data.137_07770","COMW_UBB_15",12.5,30.838,31.569,32.295,32.869,33.962,33.445,34.129,47.248,62.902,84.783,-38.062,-38.062,63.569,81.632,70.013,56.153,34.329,"COMW","Y2015"
"831_Data.138_17160","COMW_UBA_15",6,30.771,31.521,32.248,32.907,33.528,33.746,34.248,47.351,58.229,73.596,-44.437,50.027,56.013,68.963,62.939,47.777,-44.437,"COMW","Y2015"
"831_Data.139_01070","COMW_UB1_15",20,30.749,31.584,32.385,32.964,34.076,33.592,34.171,NA,53.258,78.896,-33.979,43.849,49.676,77.268,67.886,48.939,39.601,"COMW","Y2015"
"831_Data.139_05040","COMW_UB1_15",20,30.749,31.584,32.385,32.964,34.076,33.592,34.171,31.111,55.565,81.205,-33.979,-33.979,54.689,77.393,66.791,47.086,-33.979,"COMW","Y2015"
"831_Data.140_01540","COMW_UB2_15",21,30.679,31.648,32.423,33.735,33.935,33.77,34.188,51.268,59.857,86.18,39.213,-33.556,69.836,82.973,70.021,56.069,37.887,"COMW","Y2015"
"831_Data.140_02590","COMW_UB2_15",21,30.679,31.648,32.423,33.735,33.935,33.77,34.188,50.282,56.691,82.894,-33.556,-33.556,70.25,79.188,71.445,58.419,-33.556,"COMW","Y2015"
"831_Data.145_04950","AB_side_of_road_15",14,30.982,31.68,32.301,33.149,33.971,33.785,34.222,43.702,60.203,83.008,43.367,50.672,74.262,78.125,68.988,53.693,45.179,"ABLA","Y2015"
"831_Data.149_08170","AB_BR_KS",10,31.331,32.109,32.556,33.166,33.47,33.82,34.33,43.887,59.577,79.419,-40,39.272,68.36,69.301,73.365,59.781,39.729,"ABLA","Y2015"
"831_Data.150_11930","AB_GOO_S",13,30.782,31.609,32.285,32.883,33.407,33.912,34.32,42.97,58.94,81.074,-37.721,41.131,63.954,75.277,74.48,64.972,-37.721,"ABLA","Y2015"
"831_Data.151_10650","AB_KK_BS",11,30.669,31.533,32.407,33.006,33.799,33.931,34.27,31.265,59.145,79.831,37.761,46.277,73.115,72.019,71.45,52.413,45.876,"ABLA","Y2015"
"831_Data.151_15480","AB_KK_BS",11,30.669,31.533,32.407,33.006,33.799,33.931,34.27,41.96,59.408,80.132,-39.172,32.808,74.508,73.123,72.956,52.671,44.391,"ABLA","Y2015"
"831_Data.155_01380","AB_GOO_S",11.5,30.866,31.656,32.43,33.024,33.472,33.791,34.372,40.664,56.959,77.926,-38.786,43.894,61.514,71.098,72.01,59.079,-38.786,"ABLA","Y2015"
"831_Data.161_01990","AB_GGW_S",14,30.81,31.686,32.253,33.462,33.692,33.796,34.326,39.891,55.605,78.18,-37.077,38.038,60.569,72.64,70.417,63.692,44.503,"ABLA","Y2015"
"831_Data.161_03080","AB_GGW_S",14,30.81,31.686,32.253,33.462,33.692,33.796,34.326,45.979,57.227,79.913,23.197,-37.077,62.547,74.578,71.784,65.347,39.679,"ABLA","Y2015"
"831_Data.161_13240","AB_GGW_S",10,30.619,31.486,32.417,33.138,33.954,33.797,34.242,43.049,60.312,80.192,36.43,29.331,58.568,75.477,70.429,64.33,33.642,"ABLA","Y2015"
"831_Data.164_28710","AB_RYR_S",12,30.743,31.434,32.412,33.249,33.913,33.878,34.315,46.108,59.694,81.125,37.144,53.584,65.731,74.716,73.313,61.135,-38.416,"ABLA","Y2015"
"831_Data.166_02260","AB_GOO_S",16,30.588,31.633,32.785,33.594,33.872,33.782,34.302,50.88,59.397,83.319,41.968,48.276,66.365,77.532,74.957,67.179,38.149,"ABLA","Y2015"
"831_Data.166_05070","AB_GOO_S",16,30.588,31.633,32.785,33.594,33.872,33.782,34.302,50.08,59.179,83.124,39.043,38.834,64.627,78.801,74.992,65.678,31.199,"ABLA","Y2015"
"831_Data.170_08740","AB_GOO_S",16.5,31.863,31.983,32.725,33.753,34.91,33.976,34.206,38.131,56.858,80.926,-35.65,43.664,65.181,75.148,73.547,65.059,36.96,"ABLA","Y2015"
"831_Data.170_16460","AB_GOO_S",16.5,30.72,31.613,32.427,33.215,34.419,33.687,34.283,44.014,56.007,80.019,40.552,-35.65,60.218,73.713,73.222,63.537,-35.65,"ABLA","Y2015"
"831_Data.170_17700","AB_GOO_S",16.5,30.72,31.613,32.427,33.215,34.419,33.687,34.283,42.994,57.346,81.452,-35.65,46.925,62.913,74.892,74.821,65.216,-35.65,"ABLA","Y2015"
"831_Data.170_20620","AB_GOO_S",16.5,30.72,31.613,32.427,33.215,34.419,33.687,34.283,38.592,56.822,80.908,-35.65,43.809,62.417,74.509,74.495,65.39,-35.65,"ABLA","Y2015"
"831_Data.185_00760","BABE_UBD_15",11.5,32.978,33.067,33.374,33.535,33.604,33.818,34.22,NA,57.202,78.216,44.087,42.398,70.34,74.631,66.199,50.891,41.454,"BABE","Y2015"
"831_Data.200_39430","LAEN_UBE_15",12.5,39.096,37.47,37.506,39.659,38.469,34.512,34.714,54.012,64.059,85.86,-38.062,54.803,75.393,80.601,76.312,53.261,-38.062,"LAEN","Y2015"
"831_Data.202_03340","LAEN_UBF_15",7,38.642,36.744,35.436,34.428,34.214,34.068,34.203,58.448,56.445,72.815,-43.098,-43.098,62.9,66.715,59.759,47.434,34.347,"LAEN","Y2015"
"831_Data.205_45460","LAEN_UBG_15",14.5,35.539,35.384,34.594,34.97,34.676,34.671,35.44,48.769,60.539,83.581,-36.773,48.665,71.491,76.741,75.643,60.508,-36.773,"LAEN","Y2015"
"831_Data.208_25880","LAEN_UBH_15",4,33.764,33.195,33.252,33.798,33.845,33.77,34.39,48.614,67.468,79.484,-47.959,36.482,69.58,72.663,72.246,48.441,39.097,"LAEN","Y2015"
"831_Data.214_86610","LAEN_UBI_15",8,32.626,32.653,33.027,33.74,34.142,33.719,34.244,42.584,63.202,81.195,35.546,-41.938,70.663,74.799,73.172,49.94,32.924,"LAEN","Y2015"
"PR__ABLA.031_00450","AB14_20",13,14.588,11.087,10.804,15.861,12.968,9.634,7.218,NA,63.684,85.185,31.842,44.306,62.958,78.876,77.643,65.67,38.892,"ABLA","Y2020"
"PR__ABLA.031_01900","AB14_20",13,14.588,11.087,10.804,15.861,12.968,9.634,7.218,35.79,62.873,84.353,26.582,44.003,62.01,78.797,76.985,63.757,36.314,"ABLA","Y2020"
"PR__ABLA.031_03450","AB14_20",13,14.588,11.087,10.804,15.861,12.968,9.634,7.218,35.613,61.976,83.488,32.207,44.56,63.728,77.468,76.445,66.003,35.541,"ABLA","Y2020"
"PR__ABLA.031_05000","AB14_20",13,14.588,11.087,10.804,15.861,12.968,9.634,7.218,36.898,61.97,83.46,-38.921,43.873,63.911,77.709,76.14,64.789,36.868,"ABLA","Y2020"
"PR__ABLA.031_06400","AB14_20",13,14.588,11.087,10.804,15.861,12.968,9.634,7.218,36.426,61.179,82.651,-38.921,43.391,62.087,76.739,74.382,63.813,35.465,"ABLA","Y2020"
"PR__ABLA.031_07750","AB14_20",13,14.588,11.087,10.804,15.861,12.968,9.634,7.218,36.146,61.734,83.251,-38.921,46.212,63.772,77.128,76.32,65.758,34.43,"ABLA","Y2020"
